DECISION,Acronym,What it stands for,Why we suggested that,Group,User typed the acronym,Used in a longer search,User typed the long name,First searched,Times in documents,Times in titles,In UNTERM,UNTERM says,Agrees with us,UNTERM link,Anything to watch out for,Rule to paste into documents.sr
Maybe,pir,project implementation review,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2025-10-08,664,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/7bc07474-6658-4984-881b-37e7013385af,"The dictionary also has ""pir"" - check it is not a word people type. competing: project implementation review (350); project implementation report (314)","pir +> ?""project implementation review"";"
Maybe,who,world health organization,"only the long name was searched, not the acronym",2 - Clash or unclear,No,Yes,Yes,2023-11-13,631,,Yes,World Health Organization,Matches,https://unterm.un.org/unterm2/en/view/0287216e-fd23-4d2b-a85c-f3b656b0c55f,Also an everyday English word. competing: world health organization (560); world health organisation (71),"who +> ?""world health organization"";"
Maybe,crs,creditor reporting system,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2026-02-06,537,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/bea6a275-812f-48cb-a962-bdf8a9cee3e1,competing: creditor reporting system (490); catholic relief services (47),"crs +> ?""creditor reporting system"";"
Maybe,gap,gender action plan,"only the long name was searched, not the acronym",2 - Clash or unclear,No,Yes,Yes,2023-09-19,515,,Yes,Governance Assessment Portal,Ambiguous,https://unterm.un.org/unterm2/en/view/6e3a1b4b-e330-4128-9eff-035b3d7a7de3,Also an everyday English word. competing: gender action plan (475); good agricultural practices (40),"gap +> ?""gender action plan"";"
Maybe,indc,intended nationally determined contribution,only seen inside longer searches,2 - Clash or unclear,No,Yes,Yes,2024-02-13,366,8,Yes,intended nationally determined contribution,Matches,https://unterm.un.org/unterm2/en/view/cfce7121-f0bd-4ef6-bfbc-0c484ecd19a7,competing: intended nationally determined contribution (294); intended nationally determined contributions (72),"indc +> ?""intended nationally determined contribution"";"
Maybe,ilo,international labour organization,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2024-02-01,356,,Yes,International Labour Organization,Matches,https://unterm.un.org/unterm2/en/view/0c1648fb-19d5-49c7-8c31-745889814093,competing: international labour organization (276); international labor organization (51); international labour organisation (29),"ilo +> ?""international labour organization"";"
Maybe,ias,invasive alien species,only seen inside longer searches,2 - Clash or unclear,No,Yes,Yes,2025-10-07,236,1,Yes,Institute for Space Astrophysics,Ambiguous,https://unterm.un.org/unterm2/en/view/838be95f-674f-4cb5-92ba-421cd0b603d7,competing: invasive alien species (174); intermediary alternative scenario (33); international accounting standards (29),"ias +> ?""invasive alien species"";"
Maybe,npc,national project coordinator,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2024-02-05,212,,Yes,National Petroleum Commission,Ambiguous,https://unterm.un.org/unterm2/en/view/a20e8284-daa1-4540-b072-7b500f1db11f,competing: national project coordinator (109); national planning commission (103),"npc +> ?""national project coordinator"";"
Maybe,mnre,ministry natural resources environment,"only the long name was searched, not the acronym",2 - Clash or unclear,No,No,Yes,2026-01-28,202,,No,,,,competing: ministry natural resources environment (155); ministry new renewable energy (47),"mnre +> ?""ministry natural resources environment"";"
Maybe,dom,dead organic matter,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2026-04-02,200,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/39f2898f-10b7-4f59-a8a9-3b5b88da0aee,"The dictionary also has ""dom"" - check it is not a word people type. ISO code for Dominican Republic","dom +> ?""dead organic matter"";"
Maybe,spa,strategic partnership agreement,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2025-09-16,198,4,Yes,lefetamine,Ambiguous,https://unterm.un.org/unterm2/en/view/bdf0c0bc-ec41-411f-97a7-c4d79efa1e01,"The dictionary also has ""spa"" - check it is not a word people type. competing: strategic partnership agreement (174); special protection area (24)","spa +> ?""strategic partnership agreement"";"
Maybe,dea,department environmental affairs,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2024-11-23,197,,Yes,data envelopment analysis,Ambiguous,https://unterm.un.org/unterm2/en/view/18b727af-3e96-4511-a2a4-eb1032981ca0,competing: department environmental affairs (107); danish energy agency (90),"dea +> ?""department environmental affairs"";"
Maybe,ief,implied emission factor,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2025-11-22,197,,No,,,,competing: implied emission factor (142); implied emission factors (55),"ief +> ?""implied emission factor"";"
Maybe,nema,national environment management authority,only seen inside longer searches,2 - Clash or unclear,No,Yes,Yes,2023-10-02,182,,Yes,National Emergency Management Agency,Ambiguous,https://unterm.un.org/unterm2/en/view/13778930-9ba7-49f2-9eb0-18ec68cc8c76,"The dictionary also has ""nema"" - check it is not a word people type. competing: national environment management authority (131); national emergency management agency (27); national environmental management authority (24)","nema +> ?""national environment management authority"";"
Maybe,nama,nationally appropriate mitigation actions,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2026-09-08,179,,Yes,non-agricultural market access,Ambiguous,https://unterm.un.org/unterm2/en/view/e7ee817c-8d3f-4d79-ac67-d144b1e06cb3,"The dictionary also has ""nama"" - check it is not a word people type. competing: nationally appropriate mitigation actions (126); nationally appropriate mitigation action (53)","nama +> ?""nationally appropriate mitigation actions"";"
Maybe,kpi,key performance indicator,only seen inside longer searches,2 - Clash or unclear,No,Yes,Yes,2024-04-02,161,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/1b35173f-3171-43e7-aa35-7487c5f18799,competing: key performance indicator (132); key performance indicators (29),"kpi +> ?""key performance indicator"";"
Maybe,nca,natural capital accounting,"only the long name was searched, not the acronym",2 - Clash or unclear,No,No,Yes,2025-07-07,128,,Yes,national command authorities,Ambiguous,https://unterm.un.org/unterm2/en/view/e6b6304a-4089-4e2a-926f-d2619ae712ac,competing: natural capital accounting (95); natural capital accounts (33),"nca +> ?""natural capital accounting"";"
Maybe,nga,natural gas act,"only the long name was searched, not the acronym",2 - Clash or unclear,No,No,Yes,2023-09-26,125,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/1c180ef4-78f1-42cb-94f5-0c62aec1e8b8,ISO code for Nigeria,"nga +> ?""natural gas act"";"
Maybe,twg,technical working group,"only the long name was searched, not the acronym",2 - Clash or unclear,No,No,Yes,2025-07-18,125,,Yes,Tidal Working Group,Ambiguous,https://unterm.un.org/unterm2/en/view/8a81c3d1-226f-4bb2-bab8-0d816bbf937c,competing: technical working group (104); technical working groups (21),"twg +> ?""technical working group"";"
Maybe,ldc,local distribution company,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2025-11-24,117,,Yes,local distribution company,Matches,https://unterm.un.org/unterm2/en/view/682d7a90-00d8-4fc8-b64c-454eec010776,political grouping in ISO data,"ldc +> ?""local distribution company"";"
Maybe,cfr,code federal regulations,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2026-03-16,109,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/a74bbdb5-ea4e-4e75-abeb-14a541080bd8,competing: code federal regulations (73); charter fundamental rights (36),"cfr +> ?""code federal regulations"";"
Maybe,ppp,purchasing power parity,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2025-02-11,109,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/eb9cc0de-cee1-482f-9472-37ec37a5da81,competing: purchasing power parity (71); public private partnership (38),"ppp +> ?""purchasing power parity"";"
Maybe,crf,common reporting format,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2024-10-24,100,9,Yes,Corporate Registers Forum,Ambiguous,https://unterm.un.org/unterm2/en/view/244f384d-6fc9-4220-b8f1-2f795b3d641e,competing: common reporting format (62); common reporting framework (38),"crf +> ?""common reporting format"";"
Maybe,ccd,climate change department,"only the long name was searched, not the acronym",2 - Clash or unclear,No,No,Yes,2024-02-15,95,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/83c38e74-390e-453f-8bb0-cfb45b007330,competing: climate change department (51); climate change division (44),"ccd +> ?""climate change department"";"
Maybe,nrc,national research council,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2025-10-10,88,,Yes,National Research Council,Matches,https://unterm.un.org/unterm2/en/view/25148951-4b3a-4a1f-879f-0228f19f67f5,competing: national research council (49); nuclear regulatory commission (39),"nrc +> ?""national research council"";"
Maybe,nep,national environmental policy,only seen inside longer searches,2 - Clash or unclear,No,Yes,Yes,2023-09-30,84,4,Yes,nuclear electric propulsion,Ambiguous,https://unterm.un.org/unterm2/en/view/c3149159-07f1-4710-a670-8b13bbd26b0b,"The dictionary also has ""nep"" - check it is not a word people type. competing: national environmental policy (63); national energy policy (21)","nep +> ?""national environmental policy"";"
Maybe,mia,minamata initial assessment,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2026-06-04,80,,Yes,missing in action,Ambiguous,https://unterm.un.org/unterm2/en/view/57677ce0-5f2c-4355-aedb-429164de7579,competing: minamata initial assessment (48); ministry internal affairs (32),"mia +> ?""minamata initial assessment"";"
Maybe,bod,biochemical oxygen demand,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2026-05-12,80,,Yes,biochemical oxygen demand,Matches,https://unterm.un.org/unterm2/en/view/a83c2ff4-f772-494c-aa86-0351ba46e09b,"The dictionary also has ""bod"" - check it is not a word people type. competing: biochemical oxygen demand (60); biological oxygen demand (20)","bod +> ?""biochemical oxygen demand"";"
Maybe,ead,environmental affairs department,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2025-10-25,79,,Yes,Electoral Assistance Division,Ambiguous,https://unterm.un.org/unterm2/en/view/1b2c5c2a-d12e-41d1-abe3-e1ac33b2ece9,competing: environmental affairs department (53); expected annual damage (26),"ead +> ?""environmental affairs department"";"
Maybe,rcp,representative concentration pathway,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2025-07-23,78,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/860b9a1d-8901-4ea5-8a80-ac85ad3a49e7,competing: representative concentration pathway (46); representative concentration pathways (32),"rcp +> ?""representative concentration pathway"";"
Maybe,folu,forestry other land use,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2024-04-21,65,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/c7586a0c-dc88-4963-bd2f-dd42a055af54,competing: forestry other land use (42); forest other land use (23),"folu +> ?""forestry other land use"";"
Maybe,kba,key biodiversity areas,"only the long name was searched, not the acronym",2 - Clash or unclear,No,No,Yes,2026-03-24,63,,Yes,Kuwait Banking Association,Ambiguous,https://unterm.un.org/unterm2/en/view/fcf98257-1a38-4573-a497-237436c35170,competing: key biodiversity areas (34); key biodiversity area (29),"kba +> ?""key biodiversity areas"";"
Maybe,esp,environmental social policy,only seen inside longer searches,2 - Clash or unclear,No,Yes,Yes,2024-01-10,51,,Yes,Enhanced Survey Programme,Ambiguous,https://unterm.un.org/unterm2/en/view/3680ed32-1bc6-443d-8cf4-904e348f4eb8,ISO code for Spain,"esp +> ?""environmental social policy"";"
Maybe,vcs,verified carbon standard,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2025-01-15,47,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/b8844df4-2a94-477b-a467-08ef66b7a2e2,competing: verified carbon standard (24); voluntary consensus standards (23),"vcs +> ?""verified carbon standard"";"
Maybe,nsdp,national strategic development plan,only seen inside longer searches,2 - Clash or unclear,No,Yes,Yes,2023-09-19,46,3,No,,,,competing: national strategic development plan (24); national sustainable development plan (22),"nsdp +> ?""national strategic development plan"";"
Maybe,nec,national environment commission,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2024-08-10,45,,Yes,not elsewhere classified,Ambiguous,https://unterm.un.org/unterm2/en/view/7f365678-f570-4643-9d2e-12308a050bfc,competing: national environment commission (23); national environmental council (22),"nec +> ?""national environment commission"";"
Maybe,sop,standard operating procedures,"only the long name was searched, not the acronym",2 - Clash or unclear,No,No,Yes,2024-08-07,44,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/c9a276db-beaa-4a83-bf9a-4c7b253a71cc,"The dictionary also has ""sop"" - check it is not a word people type. competing: standard operating procedures (23); standard operating procedure (21)","sop +> ?""standard operating procedures"";"
Maybe,ecn,energy commission nigeria,"only the long name was searched, not the acronym",2 - Clash or unclear,No,No,Yes,2025-07-04,42,,Yes,European Competition Network,Ambiguous,https://unterm.un.org/unterm2/en/view/b681a07d-11f4-4f29-ba17-4f94835507b9,competing: energy commission nigeria (21); early career network (21),"ecn +> ?""energy commission nigeria"";"
Maybe,tgo,thailand greenhouse gas management organization,"only the long name was searched, not the acronym",2 - Clash or unclear,No,No,Yes,2024-07-23,32,,No,,,,ISO code for Togo,"tgo +> ?""thailand greenhouse gas management organization"";"
Maybe,nam,national association manufacturers,only seen inside longer searches,2 - Clash or unclear,No,Yes,Yes,2023-12-24,20,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/5a58392b-b486-4bff-aa03-e977222d7bc1,"The dictionary also has ""nam"" - check it is not a word people type. ISO code for Namibia","nam +> ?""national association manufacturers"";"
